,ID,ESP,Periodo_1,Curso_1,Nota_1,Curso_2,Nota_2,Curso_3,Nota_3,Curso_4,Nota_4,Curso_5,Nota_5,Curso_6,Nota_6,Curso_7,Nota_7,Curso_8,Nota_8,Curso_9,Nota_9,Curso_10,Nota_10,Curso_11,Nota_11,Curso_12,Nota_12,Periodo_2,Curso_1,Nota_1,Curso_2,Nota_2,Curso_3,Nota_3,Curso_4,Nota_4,Curso_5,Nota_5,Curso_6,Nota_6,Curso_7,Nota_7,Curso_8,Nota_8,Curso_9,Nota_9,Curso_10,Nota_10,Curso_11,Nota_11,Curso_12,Nota_12,Periodo_3,Curso_1,Nota_1,Curso_2,Nota_2,Curso_3,Nota_3,Curso_4,Nota_4,Curso_5,Nota_5,Curso_6,Nota_6,Curso_7,Nota_7,Curso_8,Nota_8,Curso_9,Nota_9,Curso_10,Nota_10,Curso_11,Nota_11,Curso_12,Nota_12,Periodo_4,Curso_1,Nota_1,Curso_2,Nota_2,Curso_3,Nota_3,Curso_4,Nota_4,Curso_5,Nota_5,Curso_6,Nota_6,Curso_7,Nota_7,Curso_8,Nota_8,Curso_9,Nota_9,Curso_10,Nota_10,Curso_11,Nota_11,Curso_12,Nota_12,Periodo_5,Curso_1,Nota_1,Curso_2,Nota_2,Curso_3,Nota_3,Curso_4,Nota_4,Curso_5,Nota_5,Curso_6,Nota_6,Curso_7,Nota_7,Curso_8,Nota_8,Curso_9,Nota_9,Curso_10,Nota_10,Curso_11,Nota_11,Curso_12,Nota_12,Periodo_6,Curso_1,Nota_1,Curso_2,Nota_2,Curso_3,Nota_3,Curso_4,Nota_4,Curso_5,Nota_5,Curso_6,Nota_6,Curso_7,Nota_7,Curso_8,Nota_8,Curso_9,Nota_9,Curso_10,Nota_10,Curso_11,Nota_11,Curso_12,Nota_12,Periodo_7,Curso_1,Nota_1,Curso_2,Nota_2,Curso_3,Nota_3,Curso_4,Nota_4,Curso_5,Nota_5,Curso_6,Nota_6,Curso_7,Nota_7,Curso_8,Nota_8,Curso_9,Nota_9,Curso_10,Nota_10,Curso_11,Nota_11,Curso_12,Nota_12
0,133,4,1,83,0.8833333333333332,86,0.5333333333333333,87,0.8333333333333334,88,0.6166666666666667,2,0.5666666666666668,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,188,0.5,160,0.6333333333333333,161,0.7166666666666667,162,0.8166666666666668,18,0.5666666666666668,7,0.8166666666666668,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,229,0.6333333333333333,220,0.7166666666666667,70,0.5666666666666668,26,0.8166666666666668,33,0.5666666666666668,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4,250,0.5499999999999999,3,0.5499999999999999,34,0.75,47,0.5333333333333333,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,69,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
1,135,1,1,1,0.6833333333333332,2,0.7666666666666666,3,0.75,4,0.7000000000000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,102,0.65,127,0.6,59,0.5,99,0.5499999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,94,0.5499999999999999,95,0.6166666666666667,106,0.3833333333333333,104,0.7999999999999999,82,0.7333333333333334,8,0.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4,165,0.7833333333333333,187,0.6333333333333333,166,0.8333333333333334,71,0.6166666666666667,103,0.6833333333333332,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,106,0.6333333333333333,157,0.35,18,0.6666666666666666,7,0.7666666666666666,33,0.3666666666666667,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,70,0.9999999999999999,157,0.75,158,0.5833333333333334,139,0.7833333333333333,141,0.6333333333333333,9,0.6166666666666667,0,0.0,0,0,0,0,0,0,0,0,0,0,7,69,0.65,6,0.6333333333333333,33,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
2,136,4,1,5,0.6833333333333332,78,0.6333333333333333,79,0.45000000000000007,14,0.24999999999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,100,0.7333333333333334,32,0.5833333333333334,2,0.3666666666666667,91,0.5,71,0.5333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,236,0.8166666666666668,14,0.5666666666666668,90,0.5499999999999999,183,0.5499999999999999,4,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4,102,0.75,127,0.41666666666666663,1,0.6,105,0.5499999999999999,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,170,0.5499999999999999,94,0.5,70,0.6666666666666666,3,0.45000000000000007,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,192,0.6833333333333332,104,0.5499999999999999,3,0.6666666666666666,19,0.6,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,7,264,0.9166666666666666,265,0.7833333333333333,113,0.65,88,0.5333333333333333,69,0.6166666666666667,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
3,138,3,1,5,0.6166666666666667,28,0.6666666666666666,29,0.7666666666666666,30,0.5499999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,110,0.75,101,0.5,31,0.4833333333333333,32,0.6333333333333333,15,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,237,0.7833333333333333,31,0.7000000000000001,78,0.6166666666666667,79,0.5,43,0.6666666666666666,105,0.6166666666666667,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4,14,0.6333333333333333,91,0.5,104,0.65,71,0.5,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,90,0.35,2,0.2666666666666667,183,0.6166666666666667,4,0.5333333333333333,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,90,0.5666666666666668,2,0.7000000000000001,3,0.5333333333333333,253,0.4666666666666667,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,7,1,0.5166666666666666,18,0.5,45,0.5,76,0.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
4,146,2,1,91,0.5166666666666666,82,0.5,8,0.5166666666666666,103,0.7333333333333334,10,0.5166666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,68,0.5,129,0.6333333333333333,167,0.7166666666666667,138,0.75,132,0.6333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,26,0.7833333333333333,33,0.6333333333333333,35,0.5833333333333334,85,0.5333333333333333,11,0.5499999999999999,36,0.5666666666666668,37,0.6166666666666667,21,0.6,0,0.0,0,0,0,0,0,0,4,130,0.5499999999999999,131,0.5,142,0.6333333333333333,62,0.5333333333333333,133,0.5499999999999999,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.6666666666666666,6,0.6833333333333332,7,0.7166666666666667,47,0.9999999999999999,49,0.7999999999999999,57,0.6,0,0.0,0,0,0,0,0,0,0,0,0,0,6,17,0.9666666666666667,34,0.5,154,0.5333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
5,169,4,1,83,0.7333333333333334,115,0.7333333333333334,60,0.9,101,0.5166666666666666,15,0.3833333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,73,0.65,32,0.5833333333333334,78,0.45000000000000007,79,0.06666666666666665,14,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,78,0.5333333333333333,79,0.31666666666666665,43,0.7000000000000001,14,0.3666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4,79,0.4666666666666667,104,0.43333333333333335,71,0.5333333333333333,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,79,0.5666666666666668,90,0.5666666666666668,104,0.3833333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,170,0.5499999999999999,102,0.5333333333333333,1,0.3666666666666667,91,0.20000000000000004,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,7,113,0.6166666666666667,70,0.6333333333333333,91,0.5,104,0.5,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
6,187,4,1,83,0.7999999999999999,86,0.5166666666666666,87,0.75,88,0.6,2,0.5333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,160,0.6333333333333333,161,0.65,162,0.6833333333333332,70,0.5833333333333334,18,0.4666666666666667,8,0.2333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,220,0.6833333333333332,104,0.7000000000000001,68,0.16666666666666666,8,0.5499999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4,250,0.5166666666666666,18,0.35,3,0.6166666666666667,103,0.6666666666666666,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.5499999999999999,69,0.5,68,0.65,33,0.4,9,0.5833333333333334,47,0.8333333333333334,0,0.0,0,0,0,0,0,0,0,0,0,0,6,259,0.8333333333333334,18,0.5499999999999999,33,0.6166666666666667,34,0.5833333333333334,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
7,188,4,1,30,0.7666666666666666,110,0.5166666666666666,31,0.8666666666666666,32,0.9,15,0.4666666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,73,0.7166666666666667,203,0.7999999999999999,56,0.8833333333333332,101,0.5,15,0.5666666666666668,105,0.41666666666666663,19,0.6333333333333333,0,0.0,0,0.0,0,0.0,0,0,0,0,3,242,0.0,78,0.5,79,0.31666666666666665,43,0.6166666666666667,14,0.5166666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4,79,0.6166666666666667,105,0.6666666666666666,71,0.6166666666666667,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,90,0.41666666666666663,2,0.3666666666666667,91,0.6833333333333332,183,0.6833333333333332,4,0.5166666666666666,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,170,0.7166666666666667,90,0.7333333333333334,2,0.6,104,0.7000000000000001,3,0.6,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,7,265,0.8333333333333334,113,0.7000000000000001,102,0.7833333333333333,1,0.65,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
8,204,3,1,117,0.4833333333333333,90,0.5833333333333334,2,0.45000000000000007,91,0.43333333333333335,71,0.5833333333333334,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,197,0.7333333333333334,1,0.5333333333333333,2,0.65,91,0.5833333333333334,104,0.5499999999999999,19,0.6333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,27,0.6666666666666666,56,0.7666666666666666,39,0.5,183,0.6,55,0.5499999999999999,4,0.5333333333333333,76,0.5,0,0.0,0,0.0,0,0,0,0,0,0,4,18,0.31666666666666665,3,0.5833333333333334,50,0.6666666666666666,253,0.5499999999999999,103,0.6333333333333333,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,0.6833333333333332,18,0.5166666666666666,89,0.5,33,0.5499999999999999,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,58,0.5833333333333334,151,0.65,93,0.6833333333333332,41,0.7333333333333334,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,7,43,0.5833333333333334,44,0.65,46,0.5499999999999999,53,0.6666666666666666,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
9,211,2,1,100,0.65,56,0.7166666666666667,78,0.6666666666666666,79,0.6333333333333333,14,0.4,114,0.75,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,2,14,0.5833333333333334,2,0.8166666666666668,91,0.5166666666666666,104,0.5333333333333333,194,0.7999999999999999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,3,90,0.8166666666666668,105,0.8166666666666668,18,0.7333333333333334,183,0.5666666666666668,76,0.6166666666666667,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,4,43,0.5833333333333334,71,0.7166666666666667,20,0.6833333333333332,167,0.7999999999999999,138,0.7333333333333334,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,103,0.7333333333333334,4,0.7000000000000001,10,0.7000000000000001,49,0.7833333333333333,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,6,3,0.7666666666666666,129,0.65,136,0.65,130,0.6833333333333332,137,0.6,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,7,68,0.7000000000000001,11,0.7833333333333333,36,0.7833333333333333,257,0.8333333333333334,37,0.65,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0
